id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CL0001,Nom1,Prenom1,client1@email.com,1981-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0002,Nom2,Prenom2,client2@email.com,1993-05-15,m,CASABLANCA,0600000000,2023-05-10,Web
CL0003,Nom3,Prenom3,client3@email.com,1954-05-15,H,CASABLANCA,0600000000,2023-05-10,Web
CL0004,Nom4,Prenom4,client4@email.com,1973-05-15,1,Agadir,0600000000,2023-05-10,Web
CL0005,Nom5,Prenom5,client5@email.com,1995-05-15,f,TNG,0600000000,2023-05-10,Web
CL0006,Nom6,Prenom6,client6@email.com,1955-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0007,Nom7,Prenom7,client7@email.com,1958-05-15,0,Tnja,0600000000,2023-05-10,Web
CL0008,Nom8,Prenom8,client8@email.com,1968-05-15,f,marrakech,0600000000,2023-05-10,Web
CL0009,Nom9,Prenom9,client9@email.com,1990-05-15,m,TANGER,0600000000,2023-05-10,Web
CL0010,Nom10,Prenom10,client10@email.com,1964-05-15,f,marrakech,0600000000,2023-05-10,Web
CL0011,Nom11,Prenom11,client11@email.com,1850-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0012,Nom12,Prenom12,client12@email.com,2000-05-15,m,TNG,0600000000,2023-05-10,Web
CL0013,Nom13,Prenom13,client13@email.com,1984-05-15,f,RBA,0600000000,2023-05-10,Web
CL0014,Nom14,Prenom14,client14@email.com,1955-05-15,m,TANGER,0600000000,2023-05-10,Web
CL0015,Nom15,Prenom15,client15@email.com,2005-05-15,1,Agadir,0600000000,2023-05-10,Web
CL0016,Nom16,Prenom16,client16@email.com,1979-05-15,Femme,marrakech,0600000000,2023-05-10,Web
CL0017,Nom17,Prenom17,client17@email.com,1965-05-15,F,Agadir,0600000000,2023-05-10,Web
CL0018,Nom18,Prenom18,client18@email.com,1995-05-15,f,kech,0600000000,2023-05-10,Web
CL0019,Nom19,Prenom19,client19@email.com,1960-05-15,f,marrakech,0600000000,2023-05-10,Web
CL0020,Nom20,Prenom20,client20@email.com,1958-05-15,H,marrakech,0600000000,2023-05-10,Web
CL0021,Nom21,Prenom21,client21@email.com,2025-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0022,Nom22,Prenom22,client22@email.com,1989-05-15,0,tanger,0600000000,2023-05-10,Web
CL0023,Nom23,Prenom23,client23email.com,1981-05-15,1,TANGER,0600000000,2023-05-10,Web
CL0024,Nom24,Prenom24,client24@email.com,1987-05-15,m,TNG,0600000000,2023-05-10,Web
CL0025,Nom25,Prenom25,client25@email.com,1984-05-15,Homme,tanger,0600000000,2023-05-10,Web
CL0026,Nom26,Prenom26,client26@email.com,1966-05-15,0,kech,0600000000,2023-05-10,Web
CL0027,Nom27,Prenom27,client27@email.com,1983-05-15,Homme,tanger,0600000000,2023-05-10,Web
CL0028,Nom28,Prenom28,client28@email.com,1850-05-15,Homme,kech,0600000000,2023-05-10,Web
CL0029,Nom29,Prenom29,client29@email.com,1850-05-15,m,marrakech,0600000000,2023-05-10,Web
CL0030,Nom30,Prenom30,client30@email.com,1974-05-15,H,Tnja,0600000000,2023-05-10,Web
CL0031,Nom31,Prenom31,client31@email.com,1966-05-15,f,Agadir,0600000000,2023-05-10,Web
CL0032,Nom32,Prenom32,client32@email.com,1984-05-15,1,kech,0600000000,2023-05-10,Web
CL0033,Nom33,Prenom33,client33@email.com,2000-05-15,f,tanger,0600000000,2023-05-10,Web
CL0034,Nom34,Prenom34,client34@email.com,1993-05-15,H,RBA,0600000000,2023-05-10,Web
CL0035,Nom35,Prenom35,client35email.com,1951-05-15,f,kech,0600000000,2023-05-10,Web
CL0036,Nom36,Prenom36,client36@email.com,1975-05-15,H,kech,0600000000,2023-05-10,Web
CL0037,Nom37,Prenom37,client37@email.com,1961-05-15,Femme,Tnja,0600000000,2023-05-10,Web
CL0038,Nom38,Prenom38,client38@email.com,1977-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0039,Nom39,Prenom39,client39@email.com,1955-05-15,0,casa,0600000000,2023-05-10,Web
CL0040,Nom40,Prenom40,client40@email.com,1950-05-15,m,marrakech,0600000000,2023-05-10,Web
CL0041,Nom41,Prenom41,client41@email.com,1956-05-15,f,TANGER,0600000000,2023-05-10,Web
CL0042,Nom42,Prenom42,client42@email.com,1996-05-15,f,casa,0600000000,2023-05-10,Web
CL0043,Nom43,Prenom43,client43@email.com,1952-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0044,Nom44,Prenom44,client44@email.com,1984-05-15,1,TNG,0600000000,2023-05-10,Web
CL0045,Nom45,Prenom45,client45@email.com,2004-05-15,F,TANGER,0600000000,2023-05-10,Web
CL0046,Nom46,Prenom46,client46@email.com,1992-05-15,m,Agadir,0600000000,2023-05-10,Web
CL0047,Nom47,Prenom47,client47@email.com,1950-05-15,1,tanger,0600000000,2023-05-10,Web
CL0048,Nom48,Prenom48,client48@email.com,1952-05-15,0,marrakech,0600000000,2023-05-10,Web
CL0049,Nom49,Prenom49,client49@email.com,1998-05-15,H,casa,0600000000,2023-05-10,Web
CL0050,Nom50,Prenom50,client50@email.com,1975-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0051,Nom51,Prenom51,client51@email.com,1957-05-15,Homme,TANGER,0600000000,2023-05-10,Web
CL0052,Nom52,Prenom52,client52@email.com,1954-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0053,Nom53,Prenom53,client53@email.com,1997-05-15,F,Agadir,0600000000,2023-05-10,Web
CL0054,Nom54,Prenom54,client54@email.com,1956-05-15,Homme,Tnja,0600000000,2023-05-10,Web
CL0055,Nom55,Prenom55,client55@email.com,1971-05-15,1,tanger,0600000000,2023-05-10,Web
CL0056,Nom56,Prenom56,client56@email.com,1976-05-15,Homme,marrakech,0600000000,2023-05-10,Web
CL0057,Nom57,Prenom57,client57@email.com,1972-05-15,H,kech,0600000000,2023-05-10,Web
CL0058,Nom58,Prenom58,client58@email.com,1951-05-15,Homme,marrakech,0600000000,2023-05-10,Web
CL0059,Nom59,Prenom59,client59@email.com,1980-05-15,Homme,RBA,0600000000,2023-05-10,Web
CL0060,Nom60,Prenom60,client60@email.com,1957-05-15,0,CASABLANCA,0600000000,2023-05-10,Web
CL0061,Nom61,Prenom61,client61@email.com,1850-05-15,Homme,kech,0600000000,2023-05-10,Web
CL0062,Nom62,Prenom62,client62@email.com,1955-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0063,Nom63,Prenom63,client63@email.com,1962-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0064,Nom64,Prenom64,client64@email.com,1967-05-15,m,RBA,0600000000,2023-05-10,Web
CL0065,Nom65,Prenom65,client65@email.com,1964-05-15,f,CASABLANCA,0600000000,2023-05-10,Web
CL0066,Nom66,Prenom66,client66@email.com,1955-05-15,m,Agadir,0600000000,2023-05-10,Web
CL0067,Nom67,Prenom67,client67@email.com,2005-05-15,H,casa,0600000000,2023-05-10,Web
CL0068,Nom68,Prenom68,client68@email.com,2000-05-15,F,tanger,0600000000,2023-05-10,Web
CL0069,Nom69,Prenom69,client69@email.com,1999-05-15,1,marrakech,0600000000,2023-05-10,Web
CL0070,Nom70,Prenom70,client70@email.com,1983-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0071,Nom71,Prenom71,client71@email.com,1980-05-15,0,TANGER,0600000000,2023-05-10,Web
CL0072,Nom72,Prenom72,client72@email.com,1968-05-15,Femme,marrakech,0600000000,2023-05-10,Web
CL0073,Nom73,Prenom73,client73@email.com,2004-05-15,m,tanger,0600000000,2023-05-10,Web
CL0074,Nom74,Prenom74,client74@email.com,1998-05-15,1,Tnja,0600000000,2023-05-10,Web
CL0075,Nom75,Prenom75,client75@email.com,1961-05-15,Femme,RBA,0600000000,2023-05-10,Web
CL0076,Nom76,Prenom76,client76@email.com,1985-05-15,m,tanger,0600000000,2023-05-10,Web
CL0077,Nom77,Prenom77,client77@email.com,1960-05-15,1,TNG,0600000000,2023-05-10,Web
CL0078,Nom78,Prenom78,client78@email.com,1967-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0079,Nom79,Prenom79,client79@email.com,2001-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0080,Nom80,Prenom80,client80@email.com,1970-05-15,F,marrakech,0600000000,2023-05-10,Web
